Country code,State,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NY,11210,,8.88,NY11210,1,0,1,
US,NY,11211,,8.88,NY11211,1,0,1,
US,NY,11212,,8.88,NY11212,1,0,1,
US,NY,11213,,8.88,NY11213,1,0,1,
US,NY,11214,,8.88,NY11214,1,0,1,
US,NY,11215,,8.88,NY11215,1,0,1,
US,NY,11216,,8.88,NY11216,1,0,1,
US,NY,11217,,8.88,NY11217,1,0,1,
US,NY,11218,,8.88,NY11218,1,0,1,
US,NY,11219,,8.88,NY11219,1,0,1,
US,NY,11220,,8.88,NY11220,1,0,1,
US,NY,11221,,8.88,NY11221,1,0,1,
US,NY,11222,,8.88,NY11222,1,0,1,
US,NY,11223,,8.88,NY11223,1,0,1,
US,NY,11224,,8.88,NY11224,1,0,1,
US,NY,11225,,8.88,NY11225,1,0,1,
US,NY,11226,,8.88,NY11226,1,0,1,
US,NY,11228,,8.88,NY11228,1,0,1,
US,NY,11229,,8.88,NY11229,1,0,1,
US,NY,11230,,8.88,NY11230,1,0,1,
US,NY,11231,,8.88,NY11231,1,0,1,
US,NY,11232,,8.88,NY11232,1,0,1,
US,NY,11233,,8.88,NY11233,1,0,1,
US,NY,11234,,8.88,NY11234,1,0,1,
US,NY,11235,,8.88,NY11235,1,0,1,
US,NY,11236,,8.88,NY11236,1,0,1,
US,NY,11237,,8.88,NY11237,1,0,1,
US,NY,11238,,8.88,NY11238,1,0,1,
US,NY,11239,,8.88,NY11239,1,0,1,
US,NY,11241,,8.88,NY11241,1,0,1,
US,NY,11242,,8.88,NY11242,1,0,1,
US,NY,11243,,8.88,NY11243,1,0,1,
US,NY,11245,,8.88,NY11245,1,0,1,
US,NY,11247,,8.88,NY11247,1,0,1,
US,NY,11249,,8.88,NY11249,1,0,1,
US,NY,11251,,8.88,NY11251,1,0,1,
US,NY,11252,,8.88,NY11252,1,0,1,
US,NY,11256,,8.88,NY11256,1,0,1,
US,NY,11351,,8.88,NY11351,1,0,1,
US,NY,11352,,8.88,NY11352,1,0,1,
US,NY,11354,,8.88,NY11354,1,0,1,
US,NY,11355,,8.88,NY11355,1,0,1,
US,NY,11356,,8.88,NY11356,1,0,1,
US,NY,11357,,8.88,NY11357,1,0,1,
US,NY,11358,,8.88,NY11358,1,0,1,
US,NY,11359,,8.88,NY11359,1,0,1,
US,NY,11360,,8.88,NY11360,1,0,1,
US,NY,11361,,8.88,NY11361,1,0,1,
US,NY,11362,,8.88,NY11362,1,0,1,
US,NY,11363,,8.88,NY11363,1,0,1,
US,NY,11364,,8.88,NY11364,1,0,1,
US,NY,11365,,8.88,NY11365,1,0,1,
US,NY,11366,,8.88,NY11366,1,0,1,
US,NY,11367,,8.88,NY11367,1,0,1,
US,NY,11368,,8.88,NY11368,1,0,1,
US,NY,11369,,8.88,NY11369,1,0,1,
US,NY,11370,,8.88,NY11370,1,0,1,
US,NY,11371,,8.88,NY11371,1,0,1,
US,NY,11372,,8.88,NY11372,1,0,1,
US,NY,11373,,8.88,NY11373,1,0,1,
US,NY,11374,,8.88,NY11374,1,0,1,
US,NY,11375,,8.88,NY11375,1,0,1,
